Year,Event Description
2004, 9/11 Commission
2001, Anthrax Attacks U.S.
2000, AOL Purchases Time Warner
2009, Barak Obama Inaugurated President
2008, Barak Obama to be Democratic Candidate
2003, Blackout in Northeast
2017, Equifax Data Breach
2017, FBI Director Fired
2009, General Motors Declares Bankruptcy
2006, Hamadan vs Rumsfeld
2005, Hurricane Katrina Devestates Gulf Coast
2007, iPhone Introduced
2001, Large Tax Cut Passed
2012, Obama Reelected
2004, President Bush Reelected
2003, Shuttle Explodes on Reentry
2021," Taliban Victorious in Afghanistan US Evacuates 122,000"
2006, Tesla Roadstar Introduced
2018, Trump Leaves Iran Nuclear Accord
2003, U.S. Invades Iraq
2002, United Airlines Files For Bankruptcy
2000, USS Cole Attacked
2007, Virginia Tech Shooting
1993,"""Don't ask, don't tell"" policy replaces ban on homosexuals serving in the military; ""don't ask, don't tell"" repealed in 2010"
1985,"""Live Aid"" concerts in Philadelphia and London"
1995,"""Million Man March"" of African Americans in Washington, D.C."
1994,"""Republican Revolution"" in November elections gives control of the U. S. House of Representatives and Senate to the Republicans for the first time in forty years"
2018,12 Russian GRU Officers Indicted
2021,2020 Census Data Released
1964,24th Amendment abolishes poll taxes for voting
1972,26th Amendment lowers voting age to 18
2001,9/11Attack on New York and Washington
2004,Abu Gharib Prison Abuse
1997,adeleine Albright becomes the first female secretary of state
2010,Affordable Care Act Passed
1962,African-American student James Meredith admitted to University of Mississippi
1992,"After a national vote, ""young Elvis"" beats ""old Elvis"" to be the first in the United States Postal Services ""Legends of American Music"" postage stamps"
1975,"After the Vietnam War, when a communist government takes over Laos in 1975, Laotians begin immigrating to the United States in large numbers."
1961,Agency for International Development (USAID) created
1981,Air traffic controllers go on strike; Reagan fires those who fail to return to work
1965,"Airforce pilots and Marines arrive at the airfield near DaNang Harbor, Vietnam, as ""Operation Rolling Thunder"" begins. "
1976,"Alex Haley publishes Roots: The Saga of an American Family, bringing renewed attention to African American history in general, and to the griot or djeli tradition of praise-singers and tribal historians in some African cultures."
1972,American swimmer Mark Spitz becomes first athlete to win seven Olympic gold medals during a single Olympiad
1999,"Americans prepare for possible Y2K computer crisis, which does not materialize"
1990,Americans with Disabilities Act
1969,Anti-war protests continue
1969,Apollo 11 moon landing
1970,Apollo 13 lunar mission returns safely after accident with space craft while in orbit
1975,Apollo-Soyuz space mission between the U.S. and U.S.S.R.
1990,Art theft at Isabella Steward Gardner museum in Boston
1973,"As a budding Mississippi Delta blues musician James ""Super Chikan"" Johnson begins performing with his uncle Big"" Jack Johnson during the period when blues was increasingly blending with rock and roll. "
1962,Astraonaut John Glenn is the first American to orbit Earth
1993,Astronauts fit the Hubble Space Telescope with a corrective lens which allows the telescope to send back clearer images from space
1965,"Attack on civil rights marchers in Selma, Alabama"
1965,"Augustín Lira and Luis Valdezco found the theater company El Teatro Campesino during the Delano Grape Strike headed by César Chávez. The company creates songs and plays and performs at picket lines and rallies, providing a venue for the cultural and artistic expressions of the growing Chicano Movement."
2008,Barak Obama Wins the Presidency
1961,Bay of Pigs crisis in Cuba
1961,Berlin Wall constructed in Germany
1963,Betty Friedan publishes The Feminine Mystique
1976,Bicentennial of American independence
2000,Bicentennial of the Library of Congress
1963,"Black church bombed in Birmingham, Alabama; four young girls killed"
1972,Bobby Fischer becomes first American world chess champion
1993,Bomb detonated in the garage of the World Trade Center in New York
2013,Boston Marathon Bombing
1982,Breakup of AT&T monopoly of regional Bell telephone service
1991,Breakup of the former Soviet Union into independent republics; Cold War essentially over
2018,Brett Kavanaugh Confirmed to the Supreme Court
1995,"Cal Ripken, Jr. breaks major league baseball record for consecutive games played (2,130)"
1978,Camp David Accords between Egyptian President Anwar Sadat and Israeli Prime Minister Menachem Begin; formal agreement signed in 1978
1988,"Census Bureau announces that for the first time in American history, half of new mothers remain in the workforce"
1968,Chaos at the Democratic National Convention in Chicago
1969,Charles Manson and his followers murder actress Sharon Tate and others in Los Angeles
2015,Charleston Church Shooting
1983,China eases restrictions on emigration so that Chinese immigrants are able to enter the U.S. in greater numbers. 
1988,Civil Liberties Act of 1988 offers both a formal apology and reparations to Japanese Americans interned during World War II
1964,Civil Rights Act of 1964 outlaws major forms of discrimination against African Americans and women.
1993,"Clinton signs the North American Free Trade Agreement (NAFTA) between the U.S., Canada and Mexico"
1985,"Coca-Cola resumes producing ""old Coke"" after the ""new Coke"" soft drink formula is not a success with consumers"
2018,Cohen and Manafort Guilty
1988,Colonel Oliver North is among the individuals indicted for their roles in the Iran-Contra Affair
2002,Congress Authorizes Force Against Iraq
2018,Contentious G7 Meeting
1989,"Corcoran Gallery of Art in Washington, D.C. cancels controversial exhibit of photographs by Robert Mapplethorpe; public protests result"
1961,"CORE ""freedom riders"" attacked while testing racial integration of interstate bus system"
2020,COVID 19 Spreads Around the World
1962,Cuban Missile Crisis between the U.S. and U.S.S.R over placement of Soviet missiles in Cuba
1979,Department of Education created
1977,Department of Energy created
1975,Digital tape recording begins to take hold in professional audio studios
2000,"Disputed presidential election between Democrat Albert Gore and Republican George W. Bush; Supreme Court rules that Florida's contested electoral votes go to Bush, which gives him the lead in the electoral college"
2016,Donald Trump Elected
1971,During Operation Lam Son 719 the United States provides air support to an invasion of Laos by South Vietnamese Forces to destroy North Vietnamese bases that were being created to launch attacks against South Vietnam. 
1970,Earth Day first celebrated
1961,"Eisenhower warns of ""military-industrial complex"""
2010,Elana Kagan Fourth Female Justice
2001,Enron Bankruptcy
1970,Environmental Protection Agency (EPA) established
1982,Equal Rights Amendment to the U.S. Constitution fails to be ratified by the requisite number of states
1998,Exxon announces merger with its competitor Mobil
1998,Federal Drug Administration gives approval for Viagra
1995,Federal government briefly shut down as President Clinton and Congress feud over how to balance the budget
1994,Figure skater Tonya Harding behind attack on rival skater Nancy Kerrigan
1989,"Financial Institutions Reform, Recovery, and Enforcement Act of 1989 passed in response to the savings and loan crisis of the 1980s"
1999,First Legoland in the United States opens in California
1960,"First student ""sit-in"" at lunch counter in Greensboro, North Carolina"
1972,"Five men associated with Nixon's reelection campaign arrested while breaking into the Democratic National Committee offices at the Watergate complex in Washington, D.C."
1997,Former football star O.J. Simpson found guilty in a civil trial of the wrongful death of Ronald Goldman and Nicole Brown Simpson
2020,Former Vice President Biden Elected President
1964,"Free Speech Movement begins at the University of California, Berkeley"
1964,Freedom Summer in Mississippi to register African-American voters and engage in community organizing
1989,General Colin Powell named chairman of the Joint Chiefs of Staff
1989,George H.W. Bush inaugurated as forty-first President of the U.S.
2000,George W Bush Elected President
1984,Geraldine Ferraro becomes the first woman nominated as a vice presidential candidate when the Democrats choose her as Walter Mondale's running mate
1998,Google founded in California
2019,Government Shut Down Ends after 35 Days
1964,"Gulf of Tonkin, off the coast of northern Vietnam, incident leads to Gulf of Tonkin Resolution, which allowed President Johnson to escalate the undeclared war in Vietnam"
1995,Heather Whitestone becomes the first hearing-impaired Miss America
2000,Hilary Clinton Elected to Senate
2000,Hillary Clinton becomes the first First Lady to win political office by being elected to the U.S. Senate
2005,Hispanic Mayor of Los Angeles
1979,Hostage Crisis begins in Iran; hostages freed in January 1981
2019,House Votes to Impeach President Trump
2012,Hurricane Sandy
1981,IBM introduces the MS-DOS computer operating system
2021,Insurrection in Washington The Capitol is Attacked
1995,Internet Explorer software introduced
1970,Invasion of Cambodia by U.S. forces
1986,Iran-Contra affair of secret arms deals becomes public
1975,"Iran's Shah Mohammed Reza Pahlavi abolishes multi-party government, requiring membership in the single Rastakhiz party. "
1997,James Cameron’s Titanic opens; until 2009 will be the highest-grossing film of all time
2014,Janet Yellen to Head Federal Reserve
1979,"Janette Carter, the daughter of composer A.P. Carter and singer Sara Carter of the Carter Family, founds The Carter Family Fold, a performance venue in southwestern Virginia, to showcase and promote traditional Appalachian music."
1996,January blizzard paralyzes much of the eastern seaboard
1976,Jimmy Carter wins presidential election to become thirty-ninth President of the U.S
1963,"John F. Kennedy assassinated in Dallas, Texas; Lyndon Johnson becomes thirty-sixth President of the U.S."
1971,"John F. Kennedy Center for the Performing Arts opens in Washington, D.C."
1961,John F. Kennedy inaugurated as thirty-fifth President of the U.S.; youngest elected president and first Catholic
1992,"Johnny Carson leaves ""The Tonight Show"" after thirty years on the air; he is succeeded by Jay Leno"
1978,Jonestown massacre in Guyana included mass suicides by followers of Peoples Temple under Rev. Jim Jones
1994,Kenneth Starr appointed to investigate the Whitewater real estate scandal involving Bill and Hillary Clinton
1970,Killing of students by National Guard at Kent State University in Ohio
1963,"King gives ""I Have a Dream"" speech at the Lincoln Memorial during March for Jobs and Freedom"
1995,"Korean War Veterans Memorial dedicated in Washington, D.C."
1972,Last U.S. ground forces leave Vietnam
1988,Lauro F. Cavazos becomes first Hispanic cabinet member with his appointment as secretary of education
2008,Lehman Brothers Declares Bankruptcy
1990,"Lockheed SR-71 ""Blackbird"" sets transcontinental speed record"
1991,"Los Angeles police officers are videotaped beating Rodney King during a traffic stop, becoming national news; riots erupted when three of the four officers were acquitted of the racially-motivated beating in 1992."
1964,Lyndon B. Johnson elected president
1965,Lyndon B. Johnson's Great Society program announced
1965,Malcolm X assassinated in New York City
1992,"Mall of America opens in Minneapolis, Minnesota"
1964,"Martin Luther King, Jr. awarded Nobel Peace Prize"
1963,"Martin Luther King, Jr. writes ""Letter from Birmingham Jail"" after being arrested for participating in a civil rights protest in Alabama"
2018,Massacre at Synagogue in Pittsburgh
1999,Massacre by two students at Columbine High School in Colorado
2018,Mattis Resigns After Trump Announcement on Syria
1997,McCaughey septuplets of Iowa become the first set of septuplets to survive infancy
1973,"Members of American Indian Movement occupy Wounded Knee, South Dakota, site of 1890 massacre"
2000,"Microsoft Corporation found guilty of violating the Sherman Antitrust Act, after judge determined in 1999 that the company had established a monopoly in the personal computer market"
1985,Microsoft introduces the mouse-based Windows 1.0 computer operating system
1998,Microsoft sued for unfair business practices
2018,Midterm Elections
1995,Mississippi becomes the last state to ratify the 13th Amendment
1992,Mob boss John Gotti sentenced to life imprisonment
2000,Montgomery Ward announces it is going out of business
1980,Mount St. Helens erupts in Washington
1998,MP3 players for downloaded Internet audio appear.
2019,Mueller Report Released on Trump and Russia
1968,My Lai massacre by American soldiers in Vietnam
2019,Nancy Pelosi Speaker
2000,Napster ordered to stop allowing users to download copyrighted music from the internet
1965,National Foundation on the Arts and Humanities created
1971,"National Railroad Passenger Corporation, better known as Amtrak, organized"
1969,Native Americans begin nineteen-month occupation of Alcatraz Island in San Francisco Bay
1985,Oceanographer Dr. Robert Ballard's team find the wreck of the R.M.S. Titanic
1989,Oil tanker Exxon Valdez accident in Alaska
1995,Oklahoma City bombing; Timothy McVeigh convicted in 1997
2018,"Only 30,000 Refugees to be admitted in 2017"
1990,Operation Desert Shield begins after Iraq invaded Kuwait; U.S. troops sent to Middle East
2011,Osama Bin Laden Killed by US Forces
1991,Pan American and Eastern Airlines both declare bankruptcy
1961,Peace Corps founded
1971,"Pentagon Papers published in the New York Times and Washington Post, detailed the history of the U.S. involvement in Vietnam"
1981,Philips demonstrates the Compact Disc (CD)
1963,"Philips introduces the Compact Cassette tape format, and offers licenses worldwide."
1995,Pixar's Toy Story becomes the first full-length computer generated animated film
1998,President Bill Clinton subject to impeachment by the House of Representatives for lying about his relationship with White House intern Monica Lewinsky
1989,President Bush signs law banning smoking on most domestic airline flights
1977,President Carter issues unconditional pardons to all draft evaders from the Vietnam War
1964,President Johnson announces War on Poverty
1965,"President Lyndon Johnson signs the Immigration and Nationality Act of 1965, eliminating per-country immigration quotas and introducing immigration on the basis of professional experience and education. "
1972,President Nixon visits China
2009,President Obama Announces Troop Surge
1971,Prisoner occupation of Attica prison in New York
1967,"Protests against the Vietnam War in Washington, D.C. and New York, among other cities"
1993,"Raid by Bureau of Alcohol, Tobacco and Firearms agents on Branch Davidian compound in Waco, Texas"
1995,"Republican ""Contract with America"" legislation in U.S. Congress"
1984,Researchers identify the virus that causes acquired immune deficiency syndrome (AIDS)
1974,Richard Nixon becomes the first president to resign from office. Gerald Ford becomes the thirty-eighth president and pardons Nixon for any crimes he may have committed.
1969,Richard Nixon inaugurated as thirty-seventh President of the U.S.
1972,Richard Nixon reelected
1965,Robert C. Weaver named Secretary of Housing and Urban Development; first African-American cabinet member.
1968,Robert F. Kennedy assassinated in Los Angeles
1995,"Rock and Roll Hall of Fame Museum opens in Cleveland, Ohio"
1981,Ronald Reagan inaugurated as the fortieth President of the U.S.; hostages released in Iran
1975,Saigon falls to North Vietnamese; U.S. evacuates remaining civilian and military personnel
1989,"San Francisco Bay Area rocked by the Loma Prieta earthquake; coincidentally, the third game of the World Series was being played in San Francisco at the time"
1981,Sandra Day O'Connor becomes first female justice on the U.S. Supreme Court
2012,Sandy Hook School Shooting
1993,Sears stops printing its famed catalog after a century of publication
2021,Second Impeachment Trial of Donald Trump
1999,Senate acquits President Clinton of perjury and obstruction of justice
1972,Senate ratifies SALT-1 arms limitation treaty with the Soviet Union
1979,Senate ratifies treaties agreeing to return control of canal zone to Panama in 1999
1992,Serial killer Jeffrey Dahmer sentenced to life imprisonment
1995,"Several mergers of entertainment and communications companies: Walt Disney Company with Capital Cities/ABC, Westinghouse, Inc. with CBS, and Time Warner Inc. with Turner Broadcasting System"
1998,Sex and the City premieres on HBO
1989,Sitcom Seinfeld premieres on NBC
1996,"Site of original 1607 fort at Jamestown, Virginia found during archaeological excavation"
1967,Six Day War between Israeli and Arab forces
1980,"Sony introduces a palm-sized stereo cassette tape player called a ""Walkman."""
1982,"Sony releases the first CD player, the Model CDP-101"
1986,Space shuttle Challenger explodes moments after lift off in Florida
1981,Space shuttle Columbia launched on first mission; last space shuttle mission in 2012
2020,Space X Launches Astronauts to Space Station
1987,Stock market plunges in October
1960,Student Non-Violent Coordinating Committee (SNCC) formed
1962,Students for a Democratic Society issue Port Huron statement
1967,Summer of Love in San Francisco
1966,"Supreme Court rules in Miranda v. Arizona that police may not question subjects without first advising them of their constitutional rights, now known as ""Miranda warning"""
2015,Supreme Court Same Sex Marriage
1975,Teamsters union president Jimmy Hoffa disappears
1996,Telecommunications Act of 1996
1960,Televised presidential debates between John F. Kennedy and Richard Nixon
1992,Tennis great Arthur Ashe announces he contracted HIV from a blood transfusion during heart surgery in 1983. Six months earlier Los Angeles Lakers star Magic Johnson also announced his HIV diagnosis
2000,Terrorist attack on the U.S.S. Cole in Yemen
1971,"The Alaskan Native Claims Settlement Act, the largest land claims act in U.S. history, was signed into law by President Nixon on December 23, 1971, giving lands to Native Alaskans in return for relinquishing rights to aboriginal lands needed for the Alaska oil pipeline project."
1984,The Apple Company releases the first Macintosh personal computer
1964,The Beatles first appear on the Ed Sullivan show
1991,The first Gulf War begins with Operation Desert Storm in January against Iraqi forces under Saddam Hussein occupying Kuwait
1983,"The Library of Congress Federal Cylinder Project begins repatriating early recordings of American Indian music, starting with a selection of Omaha songs presented at the annual powwow."
1980,"The Maine Indian Claims Settlement Agreement of 1980, signed into law on October 10, compensates American Indian tribes in Maine for lands taken from them in violation of past treaties. The money awarded to the tribes enables them to buy land, develop tribal businesses, develop educational programs, and invest for their future."
1968,"The Navajo Nation founds the Navajo Community College (later re-named Diné College), a two-year college and the first college in the U.S. created by and for American Indians. Its programs stress the use of Navajo language and the study of Navajo culture. The college enables many Navajo youths to gain education beyond high school who would not otherwise have an opportunity to do so, and also aids the transfer of graduates into four-year colleges."
1968,"The North Vietnamese forces launch the Tet Offensive, attacking key cities and provinces in South Vietnam during an agreed upon cease fire during the Tet holiday. The attack catches South Vietnamese and United States forces off guard. Although the attack is turned back, the large scale of the attack and the loss of American lives is demoralizing to the American public, already discouraged with the progress of the war."
1968,"The Reverend Dr. Martin Luther King is assassinated in Memphis, Tennessee, a day after addressing a rally in support of striking sanitary workers. Riots follow in more than 100 cities."
1983,The television film The Day After presents the potential effects of nuclear war
1980,"The Western Folklife Center is established in Elko, Nevada to preserve and present folklife of the Western United States. In response to a strong interest in traditional western poetry and song, it sponsors the yearly National Cowboy Poetry Gathering beginning in 1984."
1990,The write-once CD-R becomes a commercial reality
1967,Three astronauts die in a fire in an Apollo space capsule at Cape Kennedy in Florida
1979,Three Mile Island nuclear reactor accident in Pennsylvania
1967,Thurgood Marshall becomes first African-American Supreme Court justice
1997,Tiger Woods wins his first Masters Golf Tournament
2018,Trump Addresses UN
2018,Trump Putin Meet in Helesinki
1999,U. S. cedes control of Panama Canal Zone to Panama
1993,"U. S. Holocaust Museum opens in Washington, D.C."
2001,U.S. and Great Britain Attack Afghanistan
1999,U.S. and NATO airstrikes against Serbian forces in Kosovo
1989,U.S. forces invade Panama; General Manuel Noriega will surrender in January 1990
1991,U.S. Supreme Court nominee Clarence Thomas and Professor Anita Hill appear before the Senate Judiciary Committee to address her accusations of sexual harassment by Thomas
1967,U.S. Supreme Court rules in Loving v. Virginia that states cannot ban interracial marriages
1973,U.S. Supreme Court rules in Roe v. Wade on constitutionality of abortion
1960,U-2 spy plane incident in which American pilot Francis Gary Powers was shot down in Soviet airspace
1998,Unabomber Ted Kaczynski sentenced to life imprisonment
1975,United States military academies first admit women
2010,US Combat Mission Ends in Iraq
2018,US North Korean Summit
2000,Vermont becomes the first state to legally recognize civil unions of same-sex couples
2020,Vice President Biden Becomes Presumptive Democratic Nominee
1973,Vice President Spiro Agnew resigns to avoid prosecution for bribery while governor of Maryland
1965,Voting Rights Act passed by U.S. Congress
1964,Warren Commission report concludes Lee Harvey Oswald acted alone in assassinating John F. Kennedy
1973,Watergate scandal becomes public
1965,Watts Riots in Los Angeles
1993,"William Jefferson ""Bill"" Clinton inaugurated as forty-second President of the U.S."
1969,Woodstock music festival in upstate New York
